FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
0033	B�nnespirer, soja, r�	Beansprouts, soy, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1452 C0183 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0034	B�nnespirer, soja, konserves	Beansprouts, soy, canned	A0152 A0455 A0629 A0662 A0705 A0731 A0831 B1452 C0183 E0150 F0014 G0003 H0003 J0110 K0017 M0194 N0001 P0024	
0035	Cacao, pulver	Cocoa, powder	A0272 A0455 A0629 A0662 A0705 A0731 A0845 B1318 C0133 E0106 F0003 G0003 H0138 H0230 H0247 J0116 K0003 M0001 N0001 P0024	
0036	Cacao, instant, uden m�lk, pulver	Cocoa, instant, without milk, powder	A0272 A0455 A0629 A0662 A0705 A0731 A0845 B1318 C0133 E0106 F0001 G0003 H0136 H0138 H0230 H0247 J0116 K0003 M0001 N0001 P0001	
0037	Champignon, r�	Mushroom, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B2937 C0150 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0038	Fl�dechokolade	Chocolate, milk	A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1318 C0155 E0147 F0014 G0003 H0117 H0136 H0221 H0297 J0145 K0003 M0001 N0001 P0024	
0039	M�rk chokolade	Chocolate, bitter	A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1318 C0155 E0147 F0014 G0003 H0117 H0136 H0221 J0145 K0003 M0001 N0001 P0024	
0040	Citron, r�	Lemon, raw	A0143 A0455 A0629 A0668 A0707 A0732 A0833 B1275 C0137 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0041	Citronsaft, friskpresset	Lemon juice, fresh	A0127 A0455 A0629 A0708 A0732 A0766 A0841 B1275 C0300 E0114 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0042	Mineralvand, sodavand, Coca-Cola	Soft drink, Coca-Cola	A0241 A0465 A0639 A0709 A0734 A0843 B1288 C0005 E0123 F0003 G0003 H0117 H0175 J0001 K0003 M0106 N0040 P0024	
0043	Cornflakes, uspec.	Cornflakes, average values	A0258 A0457 A0631 A0662 A0692 A0729 A0816 B1232 C0208 E0100 F0014 G0010 H0136 H0138 H0155 H0173 J0116 K0003 M0001 N0001 P0024	
0044	Daddel, t�rret	Date, dried	A0143 A0455 A0629 A0707 A0732 A0756 A0834 B1209 C0167 E0131 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0045	Dild, r�	Dill, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1277 C0150 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0046	Eddike	Vinegar	A0129 A0463 A0637 A0662 A0722 A0735 A0856 B1329 C0140 E0123 F0003 G0003 H0123 J0001 K0003 M0001 N0001 P0024	
0047	Due, k�d og skind, r�	Squab (pigeon), raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1304 C0267 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
