FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
1983	Aptamil HA 1 poeder Milupa	Imf Aptamil HA 1 powder	A0719 A0873 B0001	
1986	Aptamil HA 2 per 100 ml Milupa	Imf Aptamil HA 2 per 100 ml	A0719 A0873 B0001	
1985	Aptamil HA 2 poeder Milupa	Imf Aptamil HA 2 powder	A0719 A0873 B0001	
1988	Aptamil HA Start per 100 ml Milupa	Imf Aptamil HA Start per 100 ml	A0719 A0873 B0001	
1987	Aptamil HA Start poeder Milupa	Imf Aptamil HA Start powder	A0719 A0873 B0001	
1716	Aptamil Start per 100 ml Milupa	Imf Aptamil Start per 100 ml	A0719 A0873 B0001	
1071	Aptamil Start poeder Milupa	Infant milk formula Aptamil Start powder	A0719 A0873 B0001	
860	Aroma strooi-	Seasoning flavoured powder	A0133 A0825 B1179	
1879	Aroma strooi- Na-	Seasoning flavoured pow l sodium	A0133 A0825 B1179	
859	Aroma vloeibaar	Seasoning flavoured liquid	A0133 A0825 B1179	
1005	Aromapasta >60 g vet Dreidoppel	Fruit paste 0-30 g carbohydrate	A0722 A0852 B1140	
998	Aromapasta Dreidoppel	Fruit paste 61-84 g carbohydrate	A0722 A0852 B1140	
1021	Artisjok rauw	Artichoke raw	A0152 A0705 A0825 B1466 C0162 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
130	Asperges blik/glas	Asparagus canned	A0152 A0705 A0825 B1415 C0186 E0151 F0014 G0003 H0003 J0123 K0017 M0194 N0001 P0024	
957	Asperges gekookt	Asparagus boiled	A0152 A0705 A0825 B1415 C0186 E0151 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078	
9	Asperges rauw	Asparagus raw	A0152 A0705 A0825 B1415 C0186 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
11	Aubergine gekookt	Aubergine boiled	A0152 A0705 A0825 B1458 C0230 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
10	Aubergine rauw	Aubergine raw	A0152 A0705 A0825 B1458 C0230 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
1153	Augurken Na- glas	Gherkins low sodium	A0152 A0705 A0825 B1404 C0140 E0150 F0014 G0003 H0151 H0190 H0200 J0001 K0029 M0001 N0001 P0024 P0077	
131	Augurken tafelzuur glas	Gherkins pickled	A0152 A0705 A0825 B1404 C0140 E0150 F0014 G0003 H0151 H0158 H0190 H0200 J0001 K0029 M0001 N0001 P0024	
132	Augurken zoetzuur glas	Gherkins sweet pickled	A0152 A0705 A0825 B1404 C0140 E0150 F0014 G0003 H0151 H0158 H0190 H0200 J0001 K0010 M0001 N0001 P0024	
1157	Augurken zoetzuur Na- glas	Gherkins sweet pickled low sodium	A0152 A0705 A0825 B1404 C0140 E0150 F0014 G0003 H0151 H0158 H0190 H0200 J0001 K0029 M0001 N0001 P0024 P0077	
1160	Augurken zoetzuur z suiker glas	Gherkins pickled without sugar glass	A0152 A0705 A0825 B1404 C0140 E0150 F0014 G0003 H0151 H0190 H0200 H0202 J0001 K0029 M0001 N0001 P0024 P0091	
689	Avocado rauw	Avocado raw	A0143 A0707 A0833 B1470 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
1622	Baars rood- bereid in magnetron z toev	Bergylt prepared in microwave oven	A0717 A0802 B1222	
469	Babi pangang z rijst	Babi pangang pork Chinese style in sauce	A0714 A0799 B1136	
2055	Babykoekjes Knuistjes Zonnatura	Biscuit baby Knuistjes Zonnatura	A0191 A0695 A0821 B1047	
1836	Babyvoeding 1e hapje fruit 4 mnd	Infant food fruit 4 months	A0707 A0834 B1140	
1835	Babyvoeding 1e hapje groente 4 mnd	Infant food vegetables 4 months	A0705 A0825 B1579	
1764	Babyvoeding fruit 12 mnd	Infant food fruit 12 months	A0707 A0834 B1140	
1280	Babyvoeding fruit 4 mnd	Infant fruit 4 months	A0707 A0834 B1140	
2056	Babyvoeding fruit 6 mnd	Infant food fruit 6 months	A0707 A0834 B1140	
195	Babyvoeding fruit 8 mnd	Infant food fruit 8 months	A0707 A0834 B1140	
1281	Babyvoeding groente 4 mnd	Infant vegetables 4 months	A0705 A0825 B1579	
1360	Babyvoeding Isomil		A0719 A0873 B0001	
2054	Babyvoeding maaltijd 12 mnd	Infant food meal 12 months	A0722 A0861 B0001	
1278	Babyvoeding maaltijd 6 mnd	Infant meal 6 months	A0722 A0861 B0001	
372	Babyvoeding maaltijd 8 mnd	Infant meal 8 months	A0722 A0861 B0001	
1262	Babyvoeding Nutrilon laag lactose per 100 ml Nutricia		A0723 A0873 B0001	
1329	Babyvoeding Nutrilon plus bereid per 100 ml Nutricia		A0723 A0873 B0001	
1275	Babyvoeding Nutrilon Soya per 100 ml Nutricia		A0723 A0873 B1347	
1271	Babyvoeding Similac Isomil per 100 ml Abbott		A0723 A0873 B0001	
1288	Babyvoeding Similac met ijzer poeder Abbott		A0723 A0873 B0001	
1273	Babyvoeding Similac met ijzer vloeibaar Abbott		A0723 A0873 B0001	
1274	Babyvoeding Similac met ijzer vloeibaar Abbott		A0723 A0873 B0001	
1272	Babyvoeding Similac vloeibaar Abbott		A0723 A0873 B0001	
1075	Babyvoeding SMA poeder		A0723 A0873 B0001	
1336	Babyvoeding zuivel m fruit Olvarit 8 mnd Nutricia	Infant food dairy with fruit Olvarit 8 m	A0722 A0852 B1297	
641	Bacon	Bacon	A0279 A0714 A0797 B1136 C0268 E0151 F0003 G0001 H0253 J0108 K0003 M0001 N0001 P0024 Z0046	
1697	Bacon Na- gekookt	Bacon cooked low sodium	A0279 A0714 A0793 B1136 C0268 E0151 F0003 G0001 H0253 J0108 K0003 M0001 N0001 P0024 Z0046	
