FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
14037	ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof	A0277 A0850 A1284 B1347 C0174 E0123 F0001 G0003 H0232 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14550	ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof	A0277 A0850 A1284 B1347 C0174 E0123 F0001 G0003 H0232 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14551	ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof	A0277 A0850 A1284 B1347 C0174 E0123 F0001 G0003 H0232 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14532	ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof	A0277 A0850 A1284 B1347 C0174 E0123 F0001 G0003 H0232 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14049	ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF	Alcoholic beverage, distilled, gin, 90 proof	A0200 A0850 A1284 B1324 C0133 E0123 F0014 G0003 H0229 H0232 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14050	ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF	Alcoholic beverage, distilled, rum, 80 proof	A0200 A0850 A1284 B1378 C0207 E0123 F0014 G0003 H0232 H0253 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14051	ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF	Alcoholic beverage, distilled, vodka, 80 proof	A0120 A0850 A1284 B1324 C0133 E0123 F0014 G0003 H0232 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14052	ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF	Alcoholic beverage, distilled, whiskey, 86 proof	A0200 A0850 A1284 B1324 C0133 E0123 F0014 G0003 H0232 H0253 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14415	ALCOHOLIC BEV,LIQUEUR,COFFEE W/ CRM,34 PROOF	Alcoholic beverage, liqueur, coffee with cream, 34 proof	A0240 A0850 A1284 B1347 C0001 E0123 F0014 G0003 H0100 H0232 H0296 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14414	ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF	Alcoholic beverage, liqueur, coffee, 53 proof	A0240 A0850 A1284 B1347 C0001 E0123 F0014 G0003 H0100 H0232 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
