FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
0035	Cacao, pulver	Cocoa, powder	A0272 A0455 A0629 A0662 A0705 A0731 A0845 B1318 C0133 E0106 F0003 G0003 H0138 H0230 H0247 J0116 K0003 M0001 N0001 P0024	
0036	Cacao, instant, uden mælk, pulver	Cocoa, instant, without milk, powder	A0272 A0455 A0629 A0662 A0705 A0731 A0845 B1318 C0133 E0106 F0001 G0003 H0136 H0138 H0230 H0247 J0116 K0003 M0001 N0001 P0001	
0037	Champignon, rå	Mushroom, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B2937 C0150 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0038	Flødechokolade	Chocolate, milk	A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1318 C0155 E0147 F0014 G0003 H0117 H0136 H0221 H0297 J0145 K0003 M0001 N0001 P0024	
0039	Mørk chokolade	Chocolate, bitter	A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1318 C0155 E0147 F0014 G0003 H0117 H0136 H0221 J0145 K0003 M0001 N0001 P0024	
0040	Citron, rå	Lemon, raw	A0143 A0455 A0629 A0668 A0707 A0732 A0833 B1275 C0137 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0041	Citronsaft, friskpresset	Lemon juice, fresh	A0127 A0455 A0629 A0708 A0732 A0766 A0841 B1275 C0300 E0114 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0042	Mineralvand, sodavand, Coca-Cola	Soft drink, Coca-Cola	A0241 A0465 A0639 A0709 A0734 A0843 B1288 C0005 E0123 F0003 G0003 H0117 H0175 J0001 K0003 M0106 N0040 P0024	
0043	Cornflakes, uspec.	Cornflakes, average values	A0258 A0457 A0631 A0662 A0692 A0729 A0816 B1232 C0208 E0100 F0014 G0010 H0136 H0138 H0155 H0173 J0116 K0003 M0001 N0001 P0024	
0044	Daddel, tørret	Date, dried	A0143 A0455 A0629 A0707 A0732 A0756 A0834 B1209 C0167 E0131 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0045	Dild, rå	Dill, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1277 C0150 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0046	Eddike	Vinegar	A0129 A0463 A0637 A0662 A0722 A0735 A0856 B1329 C0140 E0123 F0003 G0003 H0123 J0001 K0003 M0001 N0001 P0024	
0047	Due, kød og skind, rå	Squab (pigeon), raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1304 C0267 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0048	Due, kød, rå	Squab (pigeon), flesh, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1304 C0268 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0049	Fersken, rå	Peach, raw	A0143 A0455 A0629 A0670 A0707 A0732 A0833 B1350 C0140 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0050	Fersken, konserves	Peach, canned	A0143 A0455 A0629 A0662 A0707 A0732 A0834 B1350 C0229 E0116 F0014 G0003 H0136 J0123 K0023 M0194 N0051 P0024	
0051	Fersken, tørret	Peach, dried	A0143 A0455 A0629 A0707 A0732 A0756 A0834 B1350 C0229 E0131 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0052	Figen, tørret	Fig, dried	A0143 A0455 A0629 A0707 A0732 A0756 A0834 B1302 C0140 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0053	Fårekød, bov, rå	Mutton, shoulder, raw	A0150 A0459 A0633 A0654 A0714 A0726 A0794 B1183 C0103 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024 Z0025	
0054	Fårekød, kølle, rå	Mutton, round, raw	A0150 A0459 A0633 A0654 A0714 A0726 A0794 B1183 C0266 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024 Z0024	
0055	Gedde, rå	Pike, raw	A0267 A0460 A0634 A0717 A0727 A0745 A0802 B1293 C0265 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0056	Grahamsmel, fuldkornshvedemel, beriget	Wheat, flour, wholemeal, enriched	A0149 A0457 A0631 A0683 A0693 A0729 A0813 B1312 C0133 E0117 F0003 G0003 H0138 H0163 J0003 K0003 M0120 N0039 P0024 P0163	
0057	Grahamsbrød (beriget mel)	Bread, wholemeal (nutrients added)	A0178 A0458 A0632 A0662 A0695 A0729 A0818 B1312 C0133 E0147 F0014 G0005 H0148 H0173 J0001 K0003 M0001 N0001 P0024 P0163	
0058	Gelatine	Gelatin	A0129 A0467 A0637 A0666 A0722 A0735 A0853 B1134 C0219 E0153 F0003 G0003 H0138 J0116 K0003 M0173 N0039 P0024	
0059	Grapefrugt, rå	Grapefruit, raw	A0143 A0455 A0629 A0668 A0707 A0732 A0833 B1507 C0137 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0060	Grapefrugtjuice, konserves, usødet	Grapefruitjuice, canned, unswtnd.	A0127 A0455 A0629 A0708 A0732 A0766 A0841 B1507 C0300 E0121 F0018 G0003 H0001 J0123 K0003 M0001 N0001 P0024	
0061	Græskar, rå	Pumpkin, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1456 C0140 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0062	Græskar, konserves	Pumpkin, canned	A0152 A0455 A0629 A0662 A0705 A0731 A0827 B1456 C0229 E0152 F0014 G0003 H0136 H0173 H0200 J0123 K0010 M0135 N0040 P0024	
0063	Grønkål, rå	Kale, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1281 C0200 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0064	Grønkål, dybfrost	Kale, frozen	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1281 C0200 E0100 F0018 G0001 H0001 J0132 K0003 M0001 N0001 P0024	
0065	Gulerod, uspec., rå	Carrot, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1227 C0239 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0066	Gås, kød og skind, rå	Goose, flesh and skin, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1253 C0267 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0067	Gås, kød, rå	Goose, flesh only, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1253 C0268 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0068	Bagegær, presset, rå	Yeast, baker`s, compressed	A0004 A0854 B1345 C0247 E0001 F0003 G0003 H0003 J0001 K0003 M0173 N0039 P0024	
0069	Hare, rå	Hare, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B2695 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0070	Havkat, rå	Wolffish (catfish), raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1817 C0267 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0071	Havregryn, beriget	Oats, rolled, enriched	A0125 A0457 A0631 A0683 A0696 A0729 A0814 B1219 C0134 E0100 F0018 G0003 H0138 H0162 H0181 H0223 H0239 J0116 K0003 M0001 N0001 P0024	
0072	Hellefisk, rå	Halibut, greenland, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1589 C0270 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0073	Hellefisk, røget	Halibut, greenland, smoked	A0267 A0460 A0634 A0717 A0727 A0747 A0803 B1589 C0268 E0150 F0003 G0003 H0118 H0173 J0100 J0131 K0003 M0001 N0001 P0024	
0074	Helleflynder, rå	Halibut, atlantic, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1877 C0268 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0075	Hestekød, råt	Horse, meat, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1229 C0103 E0151 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0076	Hindbær, rå	Raspberry, raw	A0143 A0455 A0629 A0671 A0707 A0732 A0833 B1494 C0167 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0077	Hjerte, kalv, råt	Heart, veal, raw	A0150 A0459 A0633 A0716 A0726 A0739 A0796 B1349 C0201 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0078	Hjerte, høne (kylling), råt	Heart, chicken, raw	A0273 A0459 A0633 A0716 A0726 A0743 A0796 B1457 C0201 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024 Z0003	
0079	Hjerte, okse, råt	Heart, beef, raw	A0150 A0459 A0633 A0716 A0726 A0739 A0796 B1161 C0201 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0080	Hjerte, svin, råt	Heart, pork, raw	A0150 A0459 A0633 A0667 A0716 A0726 A0796 B1136 C0201 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0081	Honning	Honey	A0118 A0462 A0636 A0722 A0735 A0836 B1347 C0188 E0121 F0003 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
0082	Hornfisk, rå	Garfish, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B3351 C0265 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0083	Hummer, rå	Lobster, raw	A0267 A0460 A0634 A0717 A0727 A0750 A0802 B1950 C0173 E0150 F0003 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
0084	Hummer, konserves	Lobster, canned	A0267 A0460 A0634 A0717 A0727 A0750 A0803 B1950 C0125 E0151 F0014 G0003 H0367 J0123 K0017 M0194 N0001 P0024	
0085	Hvedekim, rå	Wheat germ, raw	A0149 A0457 A0631 A0683 A0696 A0729 A0814 B1312 C0182 E0100 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0086	Hvedeklid	Wheat bran	A0125 A0457 A0631 A0683 A0696 A0729 A0814 B1312 C0288 E0117 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0087	Hvedemel, beriget	Wheat flour, enriched	A0125 A0457 A0631 A0683 A0693 A0729 A0813 B1230 C0134 E0106 F0003 G0003 H0138 H0162 H0181 H0309 H0310 J0116 K0003 M0001 N0001 P0024	
0088	Hvidkål, rå	Cabbage, white, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1406 C0151 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0089	Hvidløg, rå	Garlic, raw	A0113 A0455 A0629 A0650 A0705 A0731 A0826 B1233 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0090	Hvidløg, tørret, pulver	Garlic, dried, powder	A0152 A0455 A0629 A0705 A0731 A0757 A0827 B1233 C0240 E0106 F0003 G0003 H0138 J0116 K0003 M0136 N0040 P0024	
0091	Hvidvin, medium	Wine, white, medium	A0299 A0465 A0639 A0662 A0712 A0734 A0849 B1329 C0140 E0123 F0003 G0003 H0232 J0100 J0104 K0003 M0130 N0040 P0024	
0092	Hvidvin, sød	Wine, white, sweet	A0299 A0465 A0639 A0662 A0712 A0734 A0849 B1329 C0167 E0123 F0003 G0003 H0232 J0100 J0104 K0003 M0130 N0040 P0024	
0093	Hvidvin, tør	Wine, white, dry	A0299 A0465 A0639 A0662 A0712 A0734 A0849 B1329 C0140 E0123 F0003 G0003 H0232 J0100 J0104 K0003 M0130 N0040 P0024	
0094	Hyben, rå	Rose hip, raw	A0143 A0455 A0629 A0649 A0707 A0732 A0833 B1225 C0140 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
0095	Hyben pulver, tørret	Rose hip, dried, powder	A0143 A0455 A0629 A0707 A0732 A0756 A0834 B1225 C0139 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0096	Hyldebær, rå	Elderberry, raw	A0143 A0455 A0629 A0671 A0707 A0732 A0833 B1403 C0140 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0097	Høne, kød, rå	Chicken, hen, flesh only	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1713 C0268 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0098	Høne, kød og skind, rå	Chicken, hen, flesh and skin, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1713 C0267 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0099	Ising, rå	Dab, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1860 C0268 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0100	Jordbær, rå	Strawberry, raw	A0143 A0455 A0629 A0671 A0707 A0732 A0833 B1393 C0167 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0101	Jordskok, rå	Jerusalem artichoke, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0829 B1038 C0239 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0102	Julesalat, rå	Chicory, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1552 C0186 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0103	Kaffebønne, ristet, formalet	Coffee bean, roasted, ground	A0268 A0465 A0639 A0662 A0710 A0734 A0845 B1305 C0132 E0117 F0014 G0005 H0138 J0001 K0003 M0001 N0001 P0024	
0104	Kaffe, instant, pulver	Coffee, instant, powder	A0268 A0465 A0639 A0662 A0710 A0734 A0845 B1305 C0132 E0117 F0001 G0001 H0138 J0130 K0032 M0132 N0040 P0024	
0105	Kaffe, drikkeklar	Coffee, beverage	A0268 A0465 A0639 A0662 A0710 A0734 A0845 B1305 C0132 E0123 F0014 G0014 H0138 H0148 J0003 K0003 M0001 N0001 P0024	
0106	Kanin, kød, rå	Rabbit, flesh only, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1323 C0269 E0104 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0107	Karse, frisk	Cress, garden, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B2270 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0108	Kantarel, rå	Chanterelle, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1569 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0109	Kalkun, kød og skind, rå	Turkey, flesh and skin, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1236 C0267 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0110	Kalkun, kød, rå	Turkey, flesh only, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1236 C0268 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0111	Kalvekød, helt magert	Veal, lean meat, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1349 C0270 E0150 F0003 G0003 H0248 J0131 K0001 M0001 N0001 P0024	
0112	Kalvekød, magert, råt	Veal, thin fat, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1349 C0270 E0150 F0003 G0003 H0161 J0131 K0001 M0001 N0001 P0024	
0113	Kalvekød, middelfedt, råt	Veal, medium fat, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1349 C0269 E0150 F0003 G0003 H0003 J0003 K0001 M0001 N0001 P0024	
0114	Kalvekød, fedt, råt	Veal, fat, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1349 C0269 E0150 F0003 G0003 H0003 J0131 K0001 M0001 N0001 P0024	
0115	Kartoffel, uspec., rå	Potato, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0829 B1218 C0239 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0116	Kartoffelmel	Potato flour	A0152 A0455 A0629 A0662 A0722 A0731 A0813 B1218 C0203 E0106 F0014 G0003 H0138 H0197 J0116 K0003 M0120 N0039 P0024	
0117	Kastanje, ægte, rå	Chestnut, raw	A0260 A0455 A0629 A0685 A0703 A0732 A0823 B1544 C0155 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0118	Kaviar, uægte (stenbiderrogn)	Caviar, danish (roe, lump-sucker)	A0267 A0460 A0634 A0666 A0717 A0727 A0803 B1823 C0202 E0150 F0003 G0003 H0150 H0173 J0100 K0003 M0130 N0040 P0024	
0119	Mariekiks (beriget mel)	Bisquit (nutrients added)	A0135 A0458 A0632 A0662 A0695 A0729 A0821 B1312 C0155 E0147 F0014 G0005 H0138 H0239 H0301 J0116 J0120 K0003 M0159 N0039 P0024	
0120	Kinakål, pe-tsai, rå	Cabbage, chinese or celery, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1051 C0151 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0121	Kirsebær, rå	Cherry, raw	A0143 A0455 A0629 A0670 A0707 A0732 A0833 B1306 C0140 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0122	Kippers i olie, konserves	Kippers, in oil, canned	A0267 A0460 A0634 A0666 A0717 A0727 A0803 B1414 C0267 E0131 F0014 G0003 H0118 H0173 J0123 K0026 M0001 N0001 P0024	
0123	Klipfisk	Stockfish, cod, split, salted and dried	A0267 A0460 A0634 A0717 A0727 A0769 A0803 B1423 C0125 E0116 F0003 G0003 H0138 H0173 J0103 J0141 K0003 M0001 N0001 P0024	
0124	Knækbrød, rug-, fint	Crispbread, knackebrot, rye, fine	A0178 A0458 A0632 A0662 A0691 A0729 A0819 B1313 C0155 E0147 F0014 G0003 H0148 H0239 J0116 J0120 K0003 M0159 N0039 P0024 P0095	
0125	Knækbrød, hvede- (beriget mel)	Crispbread, wheat (nutrients added)	A0178 A0458 A0632 A0662 A0691 A0729 A0819 B1312 C0155 E0147 F0014 G0003 H0148 H0239 J0116 J0120 K0003 M0159 N0039 P0024 P0095	
0126	Kokosmel	Coconut meat, desiccated	A0260 A0467 A0629 A0662 A0703 A0730 A0823 B1536 C0134 E0100 F0003 G0003 H0138 J0143 K0001 M0001 N0001 P0024	
0127	Kongeål (pighaj), rå	Dogfish, piked, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1195 C0265 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0128	Krabbe, kogt	Crab, boiled	A0267 A0460 A0634 A0717 A0727 A0771 A0803 B1335 C0125 E0150 F0014 G0014 H0001 J0003 K0003 M0001 N0001 P0024	
0129	Krabbekløer, konserves	Crab claws, meat, canned	A0267 A0460 A0634 A0666 A0717 A0727 A0803 B1335 C0125 E0122 F0014 G0001 H0173 J0123 K0001 M0194 N0001 P0024	
0130	Kråse, kylling, rå	Gizzard, chicken, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0796 B1457 C0124 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0131	Kylling, kød, rå	Chicken, flesh only, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1457 C0268 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0132	Kylling, kød og skind, rå	Chicken, flesh and skin, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1457 C0267 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0133	Kørvel, rå	Chervil, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1444 C0150 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0134	Kålrabi, kålroe, rå	Swede, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1413 C0239 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0135	Laks, rå	Salmon, raw	A0267 A0460 A0634 A0717 A0727 A0746 A0802 B1587 C0265 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0136	Laks, konserves	Salmon, canned	A0267 A0460 A0634 A0717 A0727 A0746 A0803 B1587 C0268 E0152 F0014 G0003 H0173 J0110 J0123 K0003 M0001 N0001 P0024	
0137	Laks, røget, udskåret	Salmon, smoked	A0267 A0460 A0634 A0717 A0727 A0746 A0803 B1587 C0268 E0145 F0003 G0003 H0118 H0173 J0100 J0131 K0003 M0001 N0001 P0024	
0138	Lammekød, uspec., råt	Lamb, meat, average values, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1669 C0103 E0001 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0139	Lammekød, bov, rå	Lamb, shoulder, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1669 C0103 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024 Z0043	
0140	Lammekød, bryst, råt	Lamb, breast, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1669 C0103 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024 Z0045	
